iter	Logloss
0	0.6124664864
1	0.5444760684
2	0.488534162
3	0.4396658049
4	0.3987595129
5	0.3626714401
6	0.3295223296
7	0.3020831532
8	0.276523455
9	0.2553570422
10	0.2356711849
11	0.2180357713
12	0.2025140461
13	0.1882951852
14	0.176391054
15	0.1653868928
16	0.1549405754
17	0.1458186033
18	0.1377642162
19	0.1315741339
20	0.1242696829
21	0.1176388863
22	0.1126931893
23	0.107579733
24	0.1023702079
25	0.09743779521
26	0.09342362868
27	0.09029497315
28	0.08729289002
29	0.08405110267
30	0.08124959976
31	0.07893683575
32	0.0766177708
33	0.07453010147
34	0.07233544297
35	0.07091610025
36	0.06922024949
37	0.06783545263
38	0.06640714528
39	0.06450910758
40	0.06309182199
41	0.06179349717
42	0.06084074777
43	0.05989112189
44	0.05890574091
45	0.05832755451
46	0.05761418815
47	0.0567656673
48	0.05589496204
49	0.05514671184
50	0.05453622968
51	0.05388432854
52	0.05308326849
53	0.05262089556
54	0.05216897313
55	0.05163374754
56	0.05120468694
57	0.05077204797
58	0.05040019589
59	0.04993235482
60	0.04973708079
61	0.04955218977
62	0.04918946822
63	0.04882186295
64	0.04845256984
65	0.04819126197
66	0.04787493667
67	0.04756683485
68	0.04726517568
69	0.04690040476
70	0.04642169247
71	0.0461350054
72	0.04582522873
73	0.04552981608
74	0.04531305621
75	0.04515901145
76	0.04485500915
77	0.04450999882
78	0.04418531628
79	0.04388713747
80	0.04374042359
81	0.04347929972
82	0.04326743632
83	0.04314956651
84	0.04290670245
85	0.04257176151
86	0.04234866283
87	0.04214474359
88	0.04195406218
89	0.04178206522
90	0.04162405692
91	0.04129455701
92	0.04107660392
93	0.04091352603
94	0.04074675523
95	0.04051145226
96	0.04033608862
97	0.04016175941
98	0.03994244617
99	0.03984426311
100	0.03975286551
101	0.03958919894
102	0.03947065339
103	0.03927230713
104	0.03911061535
105	0.03903779126
106	0.03891359803
107	0.03881338203
108	0.03867503768
109	0.03852132005
110	0.0383604785
111	0.03828713809
112	0.03813466848
113	0.03803154356
114	0.03793550129
115	0.03787338633
116	0.03774345028
117	0.03766489468
118	0.03756554984
119	0.03754209451
120	0.03745095998
121	0.03738024406
122	0.03730886227
123	0.03728457879
124	0.0371942602
125	0.03717193244
126	0.03710618347
127	0.03702089217
128	0.03696338499
129	0.03690996239
130	0.03685341299
131	0.03678734906
132	0.03660238537
133	0.03658418284
134	0.03654614308
135	0.03649131721
136	0.03633675819
137	0.03630143718
138	0.0361307719
139	0.03609765131
140	0.03608064201
141	0.03603050027
142	0.03593352416
143	0.03590300536
144	0.03585241917
145	0.03571473729
146	0.03557904624
147	0.03555048092
148	0.03552327251
149	0.03539062322
